,,Decimal,,,Hex,,,,,,,
Code,LSB,Device,Subdevice,Function,Device,Function,Width,Product,Key,Binary,Binary,Binary LSB
0xFF00FF,0x00FF00FF,0,-1,0,0x0,0x0,32,Merkury Cafe Lights,M8,00000000 11111111 00000000 11111111,00000000111111110000000011111111,00000000111111110000000011111111
0xFF807F,0x00FF01FE,0,-1,1,0x0,0x1,32,Merkury Cafe Lights,On,00000000 11111111 10000000 01111111,00000000111111111000000001111111,00000000111111110000000111111110
0xFFC03F,0x00FF03FC,0,-1,3,0x0,0x3,32,Merkury Cafe Lights,Auto,00000000 11111111 11000000 00111111,00000000111111111100000000111111,00000000111111110000001111111100
0xFF20DF,0x00FF04FB,0,-1,4,0x0,0x4,32,Merkury Cafe Lights,M7,00000000 11111111 00100000 11011111,00000000111111110010000011011111,00000000111111110000010011111011
0xFF609F,0x00FF06F9,0,-1,6,0x0,0x6,32,Merkury Cafe Lights,Off,00000000 11111111 01100000 10011111,00000000111111110110000010011111,00000000111111110000011011111001
0xFF906F,0x00FF09F6,0,-1,9,0x0,0x9,32,Merkury Cafe Lights,Red,00000000 11111111 10010000 01101111,00000000111111111001000001101111,00000000111111110000100111110110
0xFF50AF,0x00FF0AF5,0,-1,10,0x0,0xA,32,Merkury Cafe Lights,4H,00000000 11111111 01010000 10101111,00000000111111110101000010101111,00000000111111110000101011110101
0xFF30CF,0x00FF0CF3,0,-1,12,0x0,0xC,32,Merkury Cafe Lights,4♪,00000000 11111111 00110000 11001111,00000000111111110011000011001111,00000000111111110000110011110011
0xFFB04F,0x00FF0DF2,0,-1,13,0x0,0xD,32,Merkury Cafe Lights,White,00000000 11111111 10110000 01001111,00000000111111111011000001001111,00000000111111110000110111110010
0xFF708F,0x00FF0EF1,0,-1,14,0x0,0xE,32,Merkury Cafe Lights,8H,00000000 11111111 01110000 10001111,00000000111111110111000010001111,00000000111111110000111011110001
0xFFF00F,0x00FF0FF0,0,-1,15,0x0,0xF,32,Merkury Cafe Lights,3♪,00000000 11111111 11110000 00001111,00000000111111111111000000001111,00000000111111110000111111110000
0xFF08F7,0x00FF10EF,0,-1,16,0x0,0x10,32,Merkury Cafe Lights,Voice Control,00000000 11111111 00001000 11110111,00000000111111110000100011110111,00000000111111110001000011101111
0xFF8877,0x00FF11EE,0,-1,17,0x0,0x11,32,Merkury Cafe Lights,Magenta,00000000 11111111 10001000 01110111,00000000111111111000100001110111,00000000111111110001000111101110
0xFF48B7,0x00FF12ED,0,-1,18,0x0,0x12,32,Merkury Cafe Lights,M2,00000000 11111111 01001000 10110111,00000000111111110100100010110111,00000000111111110001001011101101
0xFF28D7,0x00FF14EB,0,-1,20,0x0,0x14,32,Merkury Cafe Lights,2♪,00000000 11111111 00101000 11010111,00000000111111110010100011010111,00000000111111110001010011101011
0xFFA857,0x00FF15EA,0,-1,21,0x0,0x15,32,Merkury Cafe Lights,MULTICOLOR,00000000 11111111 10101000 01010111,00000000111111111010100001010111,00000000111111110001010111101010
0xFF6897,0x00FF16E9,0,-1,22,0x0,0x16,32,Merkury Cafe Lights,M3,00000000 11111111 01101000 10010111,00000000111111110110100010010111,00000000111111110001011011101001
0xFFE817,0x00FF17E8,0,-1,23,0x0,0x17,32,Merkury Cafe Lights,M1,00000000 11111111 11101000 00010111,00000000111111111110100000010111,00000000111111110001011111101000
0xFF9867,0x00FF19E6,0,-1,25,0x0,0x19,32,Merkury Cafe Lights,Yellow,00000000 11111111 10011000 01100111,00000000111111111001100001100111,00000000111111110001100111100110
0xFF58A7,0x00FF1AE5,0,-1,26,0x0,0x1A,32,Merkury Cafe Lights,Time Off,00000000 11111111 01011000 10100111,00000000111111110101100010100111,00000000111111110001101011100101
0xFFD827,0x00FF1BE4,0,-1,27,0x0,0x1B,32,Merkury Cafe Lights,Cyan,00000000 11111111 11011000 00100111,00000000111111111101100000100111,00000000111111110001101111100100
0xFF38C7,0x00FF1CE3,0,-1,28,0x0,0x1C,32,Merkury Cafe Lights,1♪,00000000 11111111 00111000 11000111,00000000111111110011100011000111,00000000111111110001110011100011
